,ダウンロードした時刻：2023/12/14 21:16:16,,,,,,,,
,,,,,,,,,
,,,,種子島,種子島,種子島,種子島,種子島,種子島
,年,月,日,降水量の合計(mm),降水量の合計(mm),平均風速(m/s),平均気温(℃),最高気温(℃),最低気温(℃)
,,,,,,,,,
,,,,,現象なし情報,,,,
site,year,month,day,rainfall,rainfall10,wind_speed,temp_mean,temp_max,temp_min
tane,2020,3,28,18.5,0,4.6,17.4,19.2,14.7
tane,2020,3,29,2,0,4.3,15.8,18.7,13.5
tane,2020,3,30,45.5,0,5.2,15.2,16.7,13.8
tane,2020,3,31,0,0,3.8,17,18.7,15.3
tane,2020,4,1,10,0,9.3,16.6,18.7,14.2
tane,2020,4,2,0,1,5,15.3,19.4,11.4
tane,2020,4,3,0,0,3.3,15.8,19.7,11.1
tane,2020,4,4,0,0,5.7,16.6,19.4,14.1
tane,2020,4,5,0,1,7.8,15.7,17.9,13.8
tane,2020,4,6,0,1,3.8,15,18.7,12.1
tane,2020,4,7,0,0,4.1,16.4,18.8,12.7
tane,2020,4,8,0,1,5.5,17.7,20.9,11.8
tane,2020,4,9,0,1,6.4,18.1,20.1,16.9
tane,2020,4,10,0,1,5.5,17.6,20.8,13.9
tane,2020,4,11,0,0,2.4,16.7,21.2,12.3
tane,2020,4,12,23.5,0,6.1,15.9,18.1,13.5
tane,2020,4,13,2.5,0,14.7,13.5,15.8,11.8
tane,2020,4,14,0,1,5.8,14.4,18.1,11
tane,2020,4,15,0,0,2.3,15.4,19.9,11
tane,2020,4,16,0,1,3.3,16.8,21.3,12.3
tane,2020,4,17,0,0,4.3,18.1,22.3,11.7
tane,2020,4,18,3.5,0,7.8,18.7,20.7,16.2
tane,2020,4,19,3,0,5.2,18.8,22.4,12.5
tane,2020,4,20,13.5,0,10.8,18.5,22.2,16.5
tane,2020,4,21,0,0,8.9,17.2,20,16.1
tane,2020,4,22,0,0,12.9,14.4,16.2,12.8
tane,2020,4,23,0,1,12,13.8,15.8,12.6
tane,2020,4,24,0,1,9.3,14.7,17.1,12.7
tane,2020,4,25,0,1,5.4,16.8,19.4,13.2
tane,2020,4,26,0,1,4.5,18.5,22.1,13
tane,2020,4,27,0,1,5.4,18.5,20.2,15.5
tane,2020,4,28,0,0,5.9,16.7,19.7,12.1
tane,2020,4,29,0,1,2.4,16,20.5,10.7
tane,2020,4,30,0,1,2.9,17.3,22.4,12
tane,2020,5,1,0,1,3.1,18.7,23.1,13.3
tane,2020,5,2,0,1,3.4,20,23.7,15
tane,2020,5,3,9,0,4.6,21.5,24.7,18.9
tane,2020,5,4,1,0,5.4,21.7,23.9,19.4
tane,2020,5,5,0,1,2.4,20.6,25.3,18.7
tane,2020,5,6,0,0,3.8,21.5,24.9,19.2
tane,2020,5,7,0,1,6.2,20.8,23.8,18.8
tane,2020,5,8,0,1,5.4,21,24.4,18
tane,2020,5,9,0,0,4.8,21.9,25.1,18.7
tane,2020,5,10,20.5,0,5.5,22.2,26.2,20.1
tane,2020,5,11,0,1,6.3,21.5,24,19.5
tane,2020,5,12,0,1,7.1,21.6,22.8,20.3
tane,2020,5,13,0,1,6.5,20.2,22.4,15.4
tane,2020,5,14,0,1,3.8,20.8,25.4,14.9
tane,2020,5,15,2,0,5.2,22.2,24.6,16.7
tane,2020,5,16,24.5,0,8,24.2,28.7,21.6
tane,2020,5,17,13.5,0,3.8,23.3,26.1,21.7
tane,2020,5,18,20,0,6.6,23.8,27,21.3
tane,2020,5,19,0,0,10.4,22.1,23.6,20.6
tane,2020,5,20,0,1,8.5,20.6,22.6,19.2
tane,2020,5,21,0,1,3.2,19.3,21.9,16
tane,2020,5,22,3.5,0,5.6,19.9,21.3,19.1
tane,2020,5,23,0,0,5.3,22.3,25.1,20
tane,2020,5,24,3,0,5.7,22.6,25.8,20.3
tane,2020,5,25,0,1,2.3,23.1,27.9,19.4
tane,2020,5,26,6,0,2.5,22.8,25.7,19.7
tane,2020,5,27,20,0,2.5,21.4,23.4,20.3
tane,2020,5,28,0,1,6.3,21.9,23.9,20.5
tane,2020,5,29,0,1,3,22.4,25.6,18.4
tane,2020,5,30,8.5,0,3.5,21,24.1,18.2
tane,2020,5,31,13.5,0,4.5,20.6,22.7,17.8
tane,2020,6,1,0,0,3.2,23.4,26.1,21.4
tane,2020,6,2,1,0,4.2,23.6,25.8,21.8
tane,2020,6,3,94,0,3.2,23,27.5,21.4
tane,2020,6,4,73,0,4.1,23,25.3,21.3
tane,2020,6,5,0.5,0,2.4,24.1,28,21.3
tane,2020,6,6,75,0,4.7,21.1,23.1,20
tane,2020,6,7,0,1,2.4,23.5,28.3,19.3
tane,2020,6,8,4,0,4,23.5,27.2,19.9
tane,2020,6,9,6,0,4.4,23.4,26.2,21.9
tane,2020,6,10,21.5,0,4.1,24.6,28.1,21.8
tane,2020,6,11,38,0,5.8,24.9,27.4,23.6
tane,2020,6,12,35.5,0,6.5,25.4,27,23.4
tane,2020,6,13,0,1,6.6,27.6,30.1,26
tane,2020,6,14,0,1,8.4,27.7,30.3,25.9
tane,2020,6,15,18.5,0,8.6,25.8,28.1,24
tane,2020,6,16,35,0,4.9,24.7,26.7,23
tane,2020,6,17,2,0,2.8,23.9,26.2,20.7
tane,2020,6,18,0,0,10.5,27.4,30.4,24.6
tane,2020,6,19,4.5,0,10.8,25.3,27.8,23.7
tane,2020,6,20,14.5,0,2.5,22.2,23.9,20.8
tane,2020,6,21,54.5,0,4.2,21.7,22.9,20.9
tane,2020,6,22,0,0,4.5,24.4,27.8,21.7
tane,2020,6,23,0,0,3.5,24.7,28.6,20.4
tane,2020,6,24,0,1,3.2,25.4,29.3,21.6
tane,2020,6,25,0,0,6.2,27.9,30.7,24.8
tane,2020,6,26,13.5,0,6.1,26.5,28.2,24.9
tane,2020,6,27,33,0,5.4,27,29.8,25
tane,2020,6,28,60,0,8.8,26.3,28.3,24.4
tane,2020,6,29,16.5,0,3.1,25.5,27.4,22.6
tane,2020,6,30,15,0,10.4,26.7,28.4,23.9
